frame_id,timestamp,object_id,speed_kmph,x1,y1,x2,y2
1,0.03,2,0.0,597,229,639,279
1,0.03,2,0.0,359,123,378,145
1,0.03,2,0.0,596,203,640,236
1,0.03,2,0.0,347,119,362,137
1,0.03,2,0.0,275,140,303,163
2,0.07,2,0.0,597,229,639,279
2,0.07,2,0.0,359,123,378,145
2,0.07,2,0.0,596,203,639,236
2,0.07,2,0.0,347,119,362,137
2,0.07,2,0.0,275,140,303,163
3,0.1,2,0.0,597,229,639,279
3,0.1,2,0.0,359,123,378,145
3,0.1,2,0.0,596,203,640,236
3,0.1,2,0.0,347,120,362,137
3,0.1,2,0.0,276,141,303,163
4,0.13,2,0.0,597,229,639,279
4,0.13,2,0.0,359,123,378,145
4,0.13,2,0.0,596,203,640,236
4,0.13,2,0.0,347,120,362,137
5,0.17,2,0.0,597,229,639,279
5,0.17,2,0.0,359,124,378,145
5,0.17,2,0.0,596,203,640,236
5,0.17,2,0.0,347,119,362,137
6,0.2,2,0.0,597,229,639,279
6,0.2,2,0.0,359,124,378,145
6,0.2,2,0.0,596,203,640,236
6,0.2,2,0.0,347,119,363,137
7,0.23,2,0.0,597,229,639,279
7,0.23,2,0.0,359,123,378,145
7,0.23,2,0.0,596,203,640,236
7,0.23,2,0.0,347,119,363,137
8,0.27,2,0.0,597,229,639,279
8,0.27,2,0.0,359,123,378,145
8,0.27,2,0.0,596,203,640,236
8,0.27,2,0.0,347,119,363,137
9,0.3,2,0.0,597,229,639,279
9,0.3,2,0.0,359,123,378,145
9,0.3,2,0.0,596,203,640,236
9,0.3,2,0.0,347,119,363,136
10,0.33,2,0.0,597,229,639,279
10,0.33,2,0.0,357,120,379,145
10,0.33,2,0.0,596,203,640,236
10,0.33,2,0.0,347,118,363,136
11,0.37,2,0.0,597,229,639,279
11,0.37,2,0.0,357,119,379,145
11,0.37,2,0.0,596,203,640,236
11,0.37,2,0.0,347,119,363,137
12,0.4,2,0.0,597,229,639,279
12,0.4,2,0.0,357,119,379,145
12,0.4,2,0.0,596,203,640,236
12,0.4,2,0.0,347,118,363,136
13,0.43,2,0.0,597,229,639,279
